,Company_Name,Rating,No_Of_Reviews,Company_Type,Location
0,TCS,3.3,(1.1L),IT Services & Consulting,Bangalore / Bengaluru +439 other locations
1,Accenture,3.7,(71.1k),IT Services & Consulting,Bangalore / Bengaluru +255 other locations
2,Wipro,3.6,(63.4k),IT Services & Consulting,Hyderabad / Secunderabad +370 other locations
3,Cognizant,3.6,(59.7k),IT Services & Consulting,Hyderabad / Secunderabad +229 other locations
4,Capgemini,3.7,(51.6k),IT Services & Consulting,Bangalore / Bengaluru +184 other locations
5,HDFC Bank,3.8,(50.6k),Banking,Mumbai +1821 other locations
6,Infosys,3.5,(47.2k),IT Services & Consulting,Bangalore / Bengaluru +246 other locations
7,ICICI Bank,4.0,(45.2k),Banking,Mumbai +1438 other locations
8,HCLTech,3.4,(44.5k),IT Services & Consulting,Chennai +226 other locations
9,Tech Mahindra,3.4,(42.3k),IT Services & Consulting,Hyderabad / Secunderabad +331 other locations
10,Genpact,3.6,(40.8k),IT Services & Consulting,Hyderabad / Secunderabad +182 other locations
11,Teleperformance,3.8,(36.5k),BPO,Mumbai +254 other locations
12,Axis Bank,3.6,(32.3k),Banking,Mumbai +1499 other locations
13,Jio,4.4,(32.2k),Telecom,Mumbai +1895 other locations
14,Concentrix Corporation,3.6,(31.5k),BPO,Bangalore / Bengaluru +177 other locations
15,Amazon,3.9,(30.7k),Internet,Bangalore / Bengaluru +518 other locations
16,iEnergizer,4.6,(27.1k),BPO,Noida +51 other locations
17,Reliance Retail,3.9,(26.9k),Retail,Mumbai +1152 other locations
18,LTIMindtree,3.6,(25.8k),IT Services & Consulting,Bangalore / Bengaluru +146 other locations
19,IBM,3.9,(25.3k),IT Services & Consulting,Bangalore / Bengaluru +160 other locations
20,HDB Financial Services,3.9,(25.1k),NBFC,Mumbai +1090 other locations
21,Larsen & Toubro Limited,3.9,(23.2k),Engineering & Construction,Chennai +753 other locations
22,Deloitte,3.7,(22.3k),Management Consulting,Hyderabad / Secunderabad +187 other locations
23,Kotak Mahindra Bank,3.6,(21.9k),Banking,Mumbai +681 other locations
24,Reliance Industries,4.0,(19.8k),Oil & Gas,Jamnagar +814 other locations
25,Vodafone Idea,3.9,(17.5k),Telecom,Pune +704 other locations
26,Bharti Airtel,3.8,(16.8k),Telecom,Gurgaon / Gurugram +790 other locations
27,BYJU'S,3.2,(16.5k),EdTech,Bangalore / Bengaluru +321 other locations
28,WNS,3.3,(14.8k),IT Services & Consulting,Pune +65 other locations
29,Tata Motors,4.1,(14k),Automobile,Pune +506 other locations
30,IDFC FIRST Bank,3.9,(14k),Banking,Mumbai +712 other locations
31,Ernst & Young,3.4,(13.9k),Management Consulting,Bangalore / Bengaluru +132 other locations
32,IndusInd Bank,3.4,(13.8k),Banking,Mumbai +788 other locations
33,AU Small Finance Bank,3.9,(13.8k),Banking,Jaipur +783 other locations
34,Bajaj Finserv,3.9,(12.6k),NBFC,Pune +1163 other locations
35,Flipkart,3.9,(12.6k),Internet,Bangalore / Bengaluru +558 other locations
36,Muthoot FinCorp,4.5,(12k),NBFC,Bangalore / Bengaluru +1090 other locations
37,PwC,3.3,(12k),Management Consulting,Bangalore / Bengaluru +132 other locations
38,Mahindra & Mahindra,4.0,(11.8k),Automobile,Pune +562 other locations
39,DXC Technology,3.6,(11.8k),IT Services & Consulting,Bangalore / Bengaluru +133 other locations
40,Infosys BPM,3.5,(11.7k),BPO,Bangalore / Bengaluru +95 other locations
41,HDFC Life,3.9,(11.7k),Insurance,Mumbai +698 other locations
42,Bandhan Bank,3.7,(10.6k),Banking,Kolkata +994 other locations
43,Conneqt Business Solutions,3.6,(10.1k),BPO,Hyderabad / Secunderabad +266 other locations
44,Mphasis,3.3,(10k),IT Services & Consulting,Bangalore / Bengaluru +63 other locations
45,Yes Bank,3.7,(9.9k),Banking,Mumbai +540 other locations
46,Tata Steel,4.0,(9.7k),Iron & Steel,Jamshedpur +229 other locations
47,Quess,3.8,(9.5k),Recruitment,Bangalore / Bengaluru +741 other locations
48,Startek,3.1,(9.3k),BPO,Bangalore / Bengaluru +105 other locations
49,Maruti Suzuki,4.2,(9.3k),Automobile,Gurgaon / Gurugram +449 other locations
50,Asian Paints,4.0,(9.3k),Chemicals,Mumbai +548 other locations
51,UltraTech Cement,4.1,(9.2k),Building Material,Mumbai +534 other locations
52,Paytm,3.2,(9.1k),FinTech,Noida +418 other locations
53,Shriram Finance,4.0,(9k),NBFC,Chennai +1111 other locations
54,Bajaj Finance,3.9,(8.9k),NBFC,Pune +969 other locations
55,Equitas Small Finance Bank,4.4,(8.7k),Banking,Chennai +479 other locations
56,Sutherland Global Services,3.4,(8.7k),BPO,Chennai +82 other locations
57,EXL Service,3.6,(8.5k),Analytics & KPO,Noida +63 other locations
58,Cipla,4.1,(8.4k),Pharma,Mumbai +291 other locations
59,Samsung,3.9,(8.3k),Consumer Electronics & Appliances,Noida +579 other locations
60,Ericsson,4.0,(8.3k),Telecom,Noida +162 other locations
61,Wells Fargo,3.7,(8.2k),Financial Services,Bangalore / Bengaluru +28 other locations
62,Dr. Reddy's,4.0,(8.1k),Pharma,Hyderabad / Secunderabad +214 other locations
63,Optum Global Solutions,4.0,(7.7k),IT Services & Consulting,Hyderabad / Secunderabad +68 other locations
64,Delhivery,3.8,(7.6k),Logistics,Gurgaon / Gurugram +753 other locations
65,ICICI Prudential Life Insurance,4.0,(7.6k),Insurance,Mumbai +505 other locations
66,JSW Steel,3.9,(7.6k),Iron & Steel,Ballari +193 other locations
67,JPMorgan Chase & Co.,3.8,(7.6k),Financial Services,Bangalore / Bengaluru +55 other locations
68,HGS,3.7,(7.5k),BPO,Bangalore / Bengaluru +121 other locations
69,Jana Small Finance Bank,3.8,(7.5k),Banking,Bangalore / Bengaluru +419 other locations
70,Ujjivan Small Finance Bank,4.0,(7.5k),Banking,Bangalore / Bengaluru +533 other locations
71,Sun Pharmaceutical Industries,4.1,(7.4k),Pharma,Vadodara +265 other locations
72,Hexaware Technologies,3.4,(7.4k),IT Services & Consulting,Chennai +68 other locations
73,Amazon Development Centre India,3.8,(7.4k),Internet,Hyderabad / Secunderabad +146 other locations
74,Lupin,4.1,(7.2k),Pharma,Pune +202 other locations
75,L&T Construction,4.0,(7.2k),Engineering & Construction,Chennai +433 other locations
76,Zydus Lifesciences,4.0,(7.2k),Pharma,Ahmedabad +177 other locations
77,Ekart Logistics,3.9,(7.2k),Logistics,Bangalore / Bengaluru +738 other locations
78,Hindustan Unilever,4.2,(7.1k),FMCG,Mumbai +531 other locations
79,KPMG India,3.4,(7k),Management Consulting,Bangalore / Bengaluru +111 other locations
80,ITC,3.9,(7k),FMCG,Bangalore / Bengaluru +375 other locations
81,Axis Max Life Insurance,4.0,(6.9k),Insurance,New Delhi +494 other locations
82,Megha Engineering & Infrastructures,3.9,(6.8k),Engineering & Construction,Hyderabad / Secunderabad +405 other locations
83,Tata Projects,4.2,(6.7k),Engineering & Construction,Mumbai +285 other locations
84,Coforge,3.2,(6.5k),IT Services & Consulting,Noida +104 other locations
85,FIS,3.8,(6.5k),FinTech,Pune +61 other locations
86,L&T Technology Services,3.1,(6.4k),IT Services & Consulting,Bangalore / Bengaluru +93 other locations
87,Bajaj Life Insurance,3.9,(6.4k),Insurance,Pune +607 other locations
88,Cholamandalam Investment & Finance,3.8,(6.4k),Financial Services,Chennai +840 other locations
89,IIFL Finance,4.0,(6.3k),NBFC,Mumbai +801 other locations
90,Oracle,3.5,(6.2k),Software Product,Bangalore / Bengaluru +56 other locations
91,Indian Army,4.7,(6.2k),Defence & Aerospace,New Delhi +365 other locations
92,Omega Healthcare,3.8,(6.2k),BPO,Chennai +69 other locations
93,Muthoot Finance,3.7,(6.2k),NBFC,Bangalore / Bengaluru +783 other locations
94,JLL,4.1,(6.2k),Real Estate,Gurgaon / Gurugram +85 other locations
95,eClerx,3.1,(6.1k),IT Services & Consulting,Pune +32 other locations
96,HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations
97,Piramal Finance,4.2,(6k),NBFC,Mumbai +423 other locations
98,Virtusa Consulting Services,3.7,(5.9k),IT Services & Consulting,Hyderabad / Secunderabad +55 other locations
99,DMart,3.9,(5.9k),Retail,Mumbai +247 other locations
100,HSBC Group,3.9,(5.9k),Financial Services,Bangalore / Bengaluru +63 other locations
101,Indiamart Intermesh,3.5,(5.8k),Internet,Noida +173 other locations
102,Udaan,3.9,(5.8k),Internet,Bangalore / Bengaluru +368 other locations
103,SMFG India Credit,3.9,(5.8k),NBFC,Mumbai +594 other locations
104,Aurobindo Pharma,4.0,(5.7k),Pharma,Hyderabad / Secunderabad +115 other locations
105,Access Healthcare,3.7,(5.7k),BPO,Chennai +64 other locations
106,Siemens,3.9,(5.7k),Industrial Automation,Bangalore / Bengaluru +152 other locations
107,BigBasket,3.9,(5.7k),Internet,Bangalore / Bengaluru +138 other locations
108,Manappuram Finance,3.9,(5.7k),NBFC,Bangalore / Bengaluru +649 other locations
109,Firstsource Solutions,3.5,(5.6k),BPO,Bangalore / Bengaluru +74 other locations
110,Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction,Mumbai +189 other locations
111,Tata Capital,4.0,(5.6k),NBFC,Mumbai +438 other locations
112,GlobalLogic,3.5,(5.6k),IT Services & Consulting,Hyderabad / Secunderabad +60 other locations
113,ICICI Lombard General Insurance Company,3.5,(5.6k),Insurance,Mumbai +312 other locations
114,Standard Chartered,3.6,(5.6k),Banking,Chennai +68 other locations
115,PolicyBazaar,3.7,(5.6k),Internet,Gurgaon / Gurugram +149 other locations
116,Mahindra Finance,3.9,(5.6k),NBFC,Mumbai +730 other locations
117,Apollo Hospitals,4.1,(5.5k),Healthcare,Chennai +229 other locations
118,Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting,Bangalore / Bengaluru +47 other locations
119,UST,3.7,(5.5k),IT Services & Consulting,Bangalore / Bengaluru +50 other locations
120,Ashok Leyland,4.0,(5.5k),Automobile,Chennai +259 other locations
121,Swiggy,3.7,(5.4k),Internet,Bangalore / Bengaluru +230 other locations
122,Citicorp,3.7,(5.4k),Financial Services,Pune +68 other locations
123,Hero MotoCorp,4.1,(5.3k),Automobile,Gurgaon / Gurugram +366 other locations
124,Cyient,3.6,(5.3k),IT Services & Consulting,Hyderabad / Secunderabad +48 other locations
125,CGI Group,4.0,(5.3k),IT Services & Consulting,Bangalore / Bengaluru +43 other locations
126,SBI Cards & Payment Services,3.6,(5.2k),Financial Services,Gurgaon / Gurugram +436 other locations
127,Kalpataru Projects International,4.1,(5.1k),Engineering & Construction,Mumbai +321 other locations
128,JustDial,3.5,(5.1k),Internet,Noida +229 other locations
129,BNY,3.6,(5.1k),Financial Services,Pune +25 other locations
130,IQVIA,3.7,(5.1k),Clinical Research,Bangalore / Bengaluru +65 other locations
131,Nagarjuna Construction Company,4.0,(5k),Engineering & Construction,Hyderabad / Secunderabad +295 other locations
132,NTT Data,3.8,(5k),IT Services & Consulting,Bangalore / Bengaluru +81 other locations
133,SBI Life Insurance Company,3.7,(5k),Insurance,Mumbai +655 other locations
134,TVS Motor,3.9,(5k),Automobile,Hosur +349 other locations
135,CBRE,4.1,(5k),Real Estate,Hyderabad / Secunderabad +91 other locations
136,Schneider Electric,4.2,(5k),Industrial Automation,Bangalore / Bengaluru +119 other locations
137,Persistent Systems,3.6,(4.9k),IT Services & Consulting,Pune +41 other locations
138,State Bank of India,3.8,(4.9k),Banking,Mumbai +618 other locations
139,vivo,4.1,(4.9k),Consumer Electronics & Appliances,Noida +415 other locations
140,Atos,3.8,(4.9k),IT Services & Consulting,Pune +49 other locations
141,Ecom Express,4.0,(4.8k),Logistics,Gurgaon / Gurugram +775 other locations
142,Eviden,3.6,(4.8k),IT Services & Consulting,Pune +39 other locations
143,KEC International,4.0,(4.8k),Engineering & Construction,Mumbai +313 other locations
144,Amdocs,3.6,(4.7k),Software Product,Pune +23 other locations
145,JBM Group,3.9,(4.7k),Auto Components,Gurgaon / Gurugram +117 other locations
146,Nagarro,3.9,(4.7k),IT Services & Consulting,Gurgaon / Gurugram +49 other locations
147,Varun Beverages,4.0,(4.7k),Beverage,New Delhi +379 other locations
148,ITC Infotech,3.7,(4.7k),IT Services & Consulting,Bangalore / Bengaluru +67 other locations
149,Bosch,4.1,(4.6k),Auto Components,Bangalore / Bengaluru +130 other locations
150,Home Credit Finance,4.0,(4.6k),NBFC,Gurgaon / Gurugram +136 other locations
151,Randstad,3.7,(4.6k),Recruitment,Hyderabad / Secunderabad +352 other locations
152,EY Global Delivery Services ( EY GDS),3.5,(4.5k),IT Services & Consulting,Bangalore / Bengaluru +56 other locations
153,Hewlett Packard Enterprise,4.1,(4.5k),IT Services & Consulting,Bangalore / Bengaluru +103 other locations
154,Utkarsh Small Finance Bank,3.6,(4.5k),Banking,Varanasi +407 other locations
155,Mahindra Logistics,3.7,(4.5k),Logistics,Mumbai +233 other locations
156,Aditya Birla Fashion and Retail,4.1,(4.5k),Fashion & Textile,Bangalore / Bengaluru +291 other locations
157,L&T Finance,3.9,(4.5k),NBFC,Mumbai +635 other locations
158,OPPO,3.9,(4.5k),Consumer Electronics & Appliances,Greater Noida +410 other locations
159,Dell,3.8,(4.5k),Consumer Electronics & Appliances,Bangalore / Bengaluru +117 other locations
160,CARS24,3.4,(4.4k),Internet,Gurgaon / Gurugram +173 other locations
161,Havells,3.9,(4.4k),Electrical Equipment,Noida +260 other locations
162,Intas Pharmaceuticals,4.1,(4.4k),Pharma,Ahmedabad +148 other locations
163,R1 RCM,3.8,(4.4k),BPO,New Delhi +46 other locations
164,Tata AIA Life Insurance,3.9,(4.4k),Insurance,Mumbai +442 other locations
165,Hyundai Motor India Limited,4.1,(4.4k),Automobile,Chennai +287 other locations
166,Deutsche Bank,3.8,(4.3k),Banking,Pune +42 other locations
167,Hetero,3.9,(4.3k),Pharma,Hyderabad / Secunderabad +67 other locations
168,Motilal Oswal Financial Services,3.7,(4.3k),Financial Services,Mumbai +168 other locations
169,Team Lease,3.9,(4.3k),Recruitment,Bangalore / Bengaluru +398 other locations
170,Berger Paints,3.7,(4.3k),Chemicals,Kolkata +354 other locations
171,VE Commercial Vehicles,3.9,(4.2k),Automobile,Indore +179 other locations
172,Lenskart,3.3,(4.2k),Internet,New Delhi +240 other locations
173,Thermax Limited,4.2,(4.2k),Industrial Machinery,Pune +252 other locations
174,Macleods Pharmaceuticals,3.7,(4.1k),Pharma,Mumbai +134 other locations
175,Bajaj Auto,3.8,(4.1k),Automobile,Pune +317 other locations
176,Aakash Educational Services,3.2,(4.1k),Education & Training,New Delhi +244 other locations
177,Kogta Financial India Limited,4.7,(4.1k),NBFC,Jaipur +259 other locations
178,Jubilant Foods Works,3.7,(4.1k),Hospitality,New Delhi +261 other locations
179,LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances,Pune +298 other locations
180,Royal Enfield,4.2,(4k),Automobile,Chennai +372 other locations
181,Hindalco Industries,4.2,(4k),Metals & Mining,Sambalpur +127 other locations
182,Jindal Steel Limited,3.9,(4k),Iron & Steel,Angul +173 other locations
183,John Deere,4.0,(4k),Industrial Machinery,Pune +155 other locations
184,Tata Communications,3.9,(4k),Telecom,Pune +102 other locations
185,HDFC Ergo General Insurance,4.0,(4k),Insurance,Mumbai +324 other locations
186,DCB Bank,3.8,(4k),Banking,Mumbai +342 other locations
187,State Street Corporation,3.5,(3.9k),Financial Services,Bangalore / Bengaluru +35 other locations
188,RBL Bank,3.5,(3.9k),Banking,Mumbai +284 other locations
189,Cummins,4.3,(3.9k),Industrial Machinery,Pune +114 other locations
190,Oyo Rooms,3.1,(3.9k),Internet,Gurgaon / Gurugram +121 other locations
191,Pidilite Industries,4.2,(3.8k),Chemicals,Mumbai +313 other locations
192,Alembic Pharmaceuticals,3.9,(3.8k),Pharma,Vadodara +187 other locations
193,Reliance Communications,4.0,(3.8k),Telecom,Mumbai +467 other locations
194,Bank of America,4.1,(3.8k),Banking,Gurgaon / Gurugram +35 other locations
195,Carelon Global Solutions,3.9,(3.8k),IT Services & Consulting,Bangalore / Bengaluru +21 other locations
196,Publicis Sapient,3.4,(3.8k),IT Services & Consulting,Bangalore / Bengaluru +46 other locations
197,PVR INOX,3.9,(3.8k),Media & Entertainment,New Delhi +150 other locations
198,Subros,3.8,(3.8k),Auto Components,Noida +88 other locations
199,Viatris,4.1,(3.8k),Pharma,Hyderabad / Secunderabad +80 other locations
200,XpressBees,4.2,(3.8k),Logistics,Pune +474 other locations
201,American Express,4.1,(3.8k),Financial Services,Gurgaon / Gurugram +53 other locations
202,Automatic Data Processing (ADP),3.9,(3.7k),Software Product,Hyderabad / Secunderabad +40 other locations
203,PNB MetLife,3.4,(3.7k),Insurance,New Delhi +425 other locations
204,Escorts Kubota Limited,4.1,(3.7k),Automobile,Faridabad +155 other locations
205,Kyndryl,3.9,(3.7k),IT Services & Consulting,Bangalore / Bengaluru +37 other locations
206,Aditya Birla Sun Life Insurance,4.0,(3.7k),Insurance,Mumbai +488 other locations
207,Grasim Industries,4.0,(3.7k),Building Material,Bharuch +241 other locations
208,Aditya Birla Capital,3.8,(3.7k),NBFC,Mumbai +338 other locations
209,Maersk,4.0,(3.7k),Logistics,Chennai +49 other locations
210,Altruist Technologies,4.4,(3.6k),BPO,Bangalore / Bengaluru +45 other locations
211,Synechron,3.5,(3.6k),IT Services & Consulting,Pune +32 other locations
212,Glenmark Pharmaceuticals,3.8,(3.6k),Pharma,Mumbai +184 other locations
213,Birlasoft,3.5,(3.6k),IT Services & Consulting,Pune +50 other locations
214,Dabur,3.8,(3.6k),FMCG,New Delhi +320 other locations
215,Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances,Mumbai +165 other locations
216,Samvardhana Motherson Group,3.7,(3.6k),Auto Components,Noida +93 other locations
217,JK Cement,4.0,(3.6k),Building Material,New Delhi +328 other locations
218,Bharat Electronics,4.2,(3.6k),Electronics Manufacturing,Bangalore / Bengaluru +87 other locations
219,KPIT Technologies,3.0,(3.6k),Software Product,Pune +44 other locations
220,Cogent E Services,3.2,(3.6k),BPO,Noida +55 other locations
221,Sodexo,4.0,(3.6k),Facility Management Services,Mumbai +156 other locations
222,Kotak Mahindara Life Insurance,3.5,(3.6k),Insurance,Mumbai +256 other locations
223,Abbott,4.1,(3.6k),Pharma,Mumbai +214 other locations
224,Aarti Industries,4.1,(3.5k),Agro Chemicals,Bharuch +58 other locations
225,Ipca Laboratories,3.8,(3.5k),Pharma,Mumbai +160 other locations
226,Reliance Projects & Property Management Services,4.0,(3.5k),Other,Kolkata +618 other locations
227,Indian Oil Corporation,4.3,(3.5k),Oil & Gas,New Delhi +308 other locations
228,MRF Tyres,3.6,(3.5k),Auto Components,Chennai +193 other locations
229,Reliance Digital,4.2,(3.5k),Retail,Mumbai +378 other locations
230,Alkem Laboratories,3.9,(3.5k),Pharma,Mumbai +196 other locations
231,Johnson Controls,3.5,(3.4k),Industrial Automation,Pune +57 other locations
232,"NTT DATA, Inc.",3.9,(3.4k),IT Services & Consulting,Bangalore / Bengaluru +36 other locations
233,Cloudnine Hospital,4.4,(3.4k),Healthcare,Bangalore / Bengaluru +46 other locations
234,Honda Motorcycle & Scooter,4.1,(3.4k),Automobile,Gurgaon / Gurugram +299 other locations
235,IGT Solutions,3.2,(3.4k),BPO,New Delhi +47 other locations
236,PhonePe,4.1,(3.4k),FinTech,Bangalore / Bengaluru +391 other locations
237,UNO Minda,3.9,(3.4k),Auto Components,Pune +109 other locations
238,Vishal Mega Mart,3.8,(3.4k),Retail,New Delhi +377 other locations
239,Hindustan Coca Cola Beverages,4.0,(3.4k),Beverage,Bangalore / Bengaluru +259 other locations
240,ArcelorMittal Nippon Steel,4.1,(3.4k),Iron & Steel,Surat +85 other locations
241,24/7 Customer,3.4,(3.4k),Software Product,Bangalore / Bengaluru +36 other locations
242,DTDC Express,3.7,(3.4k),Logistics,New Delhi +270 other locations
243,UBS,3.8,(3.4k),Financial Services,Pune +19 other locations
244,Ford Motor,4.2,(3.4k),Automobile,Chennai +130 other locations
245,Bajaj General Insurance Limited,3.7,(3.3k),Insurance,Pune +303 other locations
246,Reliance Nippon Life Insurance,3.4,(3.3k),Insurance,Mumbai +483 other locations
247,Ceat Tyres,3.9,(3.3k),Auto Components,Nagpur +140 other locations
248,ABB,4.1,(3.3k),Industrial Machinery,Bangalore / Bengaluru +107 other locations
249,RSPL Group,4.0,(3.3k),FMCG,Kanpur +256 other locations
250,HARMAN,3.8,(3.3k),Consumer Electronics & Appliances,Bangalore / Bengaluru +42 other locations
251,Blinkit,3.7,(3.3k),Internet,Gurgaon / Gurugram +145 other locations
252,Barclays,3.7,(3.3k),Banking,Pune +36 other locations
253,AGS Health,4.0,(3.3k),Analytics & KPO,Chennai +63 other locations
254,NatWest Group,4.0,(3.3k),Banking,Gurgaon / Gurugram +29 other locations
255,Indian Air Force,4.5,(3.2k),Defence & Aerospace,New Delhi +134 other locations
256,TVS Credit Services Ltd,4.2,(3.2k),NBFC,Chennai +423 other locations
257,InterGlobe Aviation,3.5,(3.2k),Aviation,New Delhi +104 other locations
258,Niva Bupa Health Insurance Company,4.1,(3.2k),Insurance,New Delhi +319 other locations
259,Conduent,3.4,(3.2k),BPO,Bangalore / Bengaluru +35 other locations
260,Alstom Transportation,3.7,(3.2k),Engineering & Construction,Bangalore / Bengaluru +80 other locations
261,Croma,3.8,(3.2k),Retail,Mumbai +191 other locations
262,Tata Technologies,3.4,(3.2k),Engineering & Construction,Pune +55 other locations
263,GeBBS Healthcare Solutions,3.7,(3.2k),BPO,Mumbai +26 other locations
264,Allcargo Logistics,3.8,(3.2k),Logistics,Mumbai +175 other locations
265,Tata AIG,4.0,(3.2k),Insurance,Mumbai +260 other locations
266,Marpu Foundation,4.9,(3.1k),Non-Profit,Hyderabad / Secunderabad +61 other locations
267,Max Healthcare,3.9,(3.1k),Healthcare,New Delhi +78 other locations
268,UPL,4.1,(3.1k),Agro Chemicals,Ankleshwar +186 other locations
269,PepsiCo,4.0,(3.1k),Food Processing,Hyderabad / Secunderabad +275 other locations
270,Amazon Transportation Services,4.2,(3.1k),Logistics,Hyderabad / Secunderabad +228 other locations
271,Titan Company,4.2,(3.1k),Retail,Bangalore / Bengaluru +182 other locations
272,Dilip Buildcon,3.9,(3.1k),Engineering & Construction,Bhopal +225 other locations
273,Mankind Pharma,3.8,(3.1k),Pharma,New Delhi +247 other locations
274,Walmart,3.4,(3.1k),Retail,Bangalore / Bengaluru +92 other locations
275,Varroc Group,3.6,(3.1k),Auto Components,Pune +62 other locations
276,Future Group,4.2,(3.1k),Retail,Mumbai +208 other locations
277,S&P Global,4.0,(3.1k),Analytics & KPO,Hyderabad / Secunderabad +47 other locations
278,Jindal Stainless,4.2,(3k),Iron & Steel,Jajpur +76 other locations
279,MSN Laboratories,3.6,(3k),Pharma,Hyderabad / Secunderabad +105 other locations
280,Afcons Infrastructure,4.2,(3k),Engineering & Construction,Mumbai +121 other locations
281,Societe Generale Global Solution Centre,3.6,(3k),IT Services & Consulting,Bangalore / Bengaluru +24 other locations
282,Torrent Pharmaceuticals,4.0,(3k),Pharma,Ahmedabad +129 other locations
283,Quest Global,3.5,(3k),IT Services & Consulting,Bangalore / Bengaluru +49 other locations
284,Square Yards,3.6,(3k),Internet,Gurgaon / Gurugram +51 other locations
285,CMS IT Services,3.1,(3k),IT Services & Consulting,Mumbai +152 other locations
286,ACC,3.9,(2.9k),Building Material,Mumbai +273 other locations
287,I Process Services,3.8,(2.9k),Recruitment,Mumbai +405 other locations
288,HDFC Sales,3.9,(2.9k),Financial Services,Mumbai +345 other locations
289,IDFC FIRST Bharat,4.2,(2.9k),Financial Services,Chennai +421 other locations
290,Zensar Technologies,3.7,(2.9k),IT Services & Consulting,Pune +28 other locations
291,Suzlon Group,4.0,(2.9k),Power,Pune +142 other locations
292,ESAF Small Finance Bank,3.6,(2.9k),Banking,Thrissur +439 other locations
293,DS Group,4.1,(2.9k),FMCG,Noida +281 other locations
294,Shoppers Stop,4.0,(2.9k),Retail,Mumbai +83 other locations
295,Sagility,3.9,(2.9k),BPO,Bangalore / Bengaluru +27 other locations
296,Eternal Limited,3.6,(2.9k),Internet,Gurgaon / Gurugram +219 other locations
297,Ola Electric Mobility,3.4,(2.9k),Automobile,Bangalore / Bengaluru +419 other locations
298,Tata Elxsi,3.5,(2.9k),IT Services & Consulting,Bangalore / Bengaluru +30 other locations
299,Fujitsu,3.8,(2.9k),IT Services & Consulting,Pune +41 other locations
300,VVDN Technologies,3.6,(2.9k),IT Services & Consulting,Gurgaon / Gurugram +49 other locations
301,Indus Towers,3.6,(2.8k),Telecom,Gurgaon / Gurugram +240 other locations
302,Nokia,4.0,(2.8k),Telecom,Bangalore / Bengaluru +166 other locations
303,Apollo Tyres,4.0,(2.8k),Auto Components,Chennai +181 other locations
304,Yazaki,3.9,(2.8k),Auto Components,Pune +95 other locations
305,IKS Health,3.6,(2.8k),Healthcare,Mumbai +31 other locations
306,Bharat Financial Inclusion,3.7,(2.8k),Financial Services,Hyderabad / Secunderabad +492 other locations
307,Fiserv,2.9,(2.8k),FinTech,Pune +32 other locations
308,UnitedHealth,4.0,(2.8k),Healthcare,Hyderabad / Secunderabad +17 other locations
309,Shree Cement,3.8,(2.8k),Building Material,Beawar +255 other locations
310,Landmark Group,3.8,(2.8k),Retail,Bangalore / Bengaluru +173 other locations
311,SRF,4.1,(2.7k),Chemicals,Bharuch +67 other locations
312,Dalmia Bharat Cement,3.9,(2.7k),Building Material,Kolkata +249 other locations
313,Britannia,4.0,(2.7k),FMCG,Pune +299 other locations
314,Blue Dart Express Ltd,3.9,(2.7k),Logistics,Mumbai +279 other locations
315,Kansai Nerolac Paints,3.8,(2.7k),Chemicals,Mumbai +253 other locations
316,Exide Industries,3.4,(2.7k),Auto Components,Kolkata +199 other locations
317,Whitehat jr,3.3,(2.7k),EdTech,Mumbai +49 other locations
318,Shell,3.9,(2.7k),Oil & Gas,Bangalore / Bengaluru +91 other locations
319,Flex,3.9,(2.7k),Electronics Manufacturing,Chennai +46 other locations
320,Nestlé,3.8,(2.7k),FMCG,Gurgaon / Gurugram +279 other locations
321,Zepto,3.5,(2.7k),Internet,Bangalore / Bengaluru +101 other locations
322,Capita,3.5,(2.7k),BPO,Pune +31 other locations
323,Micro Labs,3.6,(2.7k),Pharma,Bangalore / Bengaluru +151 other locations
324,ElasticRun,3.6,(2.6k),Logistics,Pune +386 other locations
325,TVS Supply Chain Solutions,3.8,(2.6k),Logistics,Chennai +153 other locations
326,KPMG Global Services,3.4,(2.6k),Management Consulting,Bangalore / Bengaluru +37 other locations
327,KFintech,3.4,(2.6k),Financial Services,Hyderabad / Secunderabad +113 other locations
328,ZS,3.1,(2.6k),Management Consulting,Pune +16 other locations
329,Star Health & Allied Insurance,3.5,(2.6k),Insurance,Chennai +327 other locations
330,G4S,4.0,(2.6k),Law Enforcement & Security,Gurgaon / Gurugram +162 other locations
331,Voltas,4.0,(2.6k),Consumer Electronics & Appliances,Mumbai +205 other locations
332,Tata Electronics,3.9,(2.6k),Semiconductors,Hosur +49 other locations
333,Sonalika Tractors,3.6,(2.6k),Automobile,Hoshiarpur +192 other locations
334,BlackBuck,3.7,(2.6k),Internet,Bangalore / Bengaluru +365 other locations
335,Ajanta Pharma,3.9,(2.6k),Pharma,Mumbai +118 other locations
336,Blue Star,4.1,(2.6k),Consumer Electronics & Appliances,Mumbai +147 other locations
337,Domino's Pizza,3.9,(2.6k),Hospitality,New Delhi +246 other locations
338,Care Health Insurance,3.6,(2.6k),Insurance,Gurgaon / Gurugram +243 other locations
339,ACT Fibernet,3.9,(2.5k),Telecom,Hyderabad / Secunderabad +57 other locations
