,Company_Name,Rating,No_Of_Reviews,Company_Type,Location
2341,Loadshare Networks,3.6,(453),Logistics,Bangalore / Bengaluru +72 other locations
2342,SBI Mutual Fund,3.8,(452),Financial Services,Mumbai +147 other locations
2343,CommScope,3.8,(452),Telecom,Bangalore / Bengaluru +20 other locations
2344,GM Modular,3.7,(452),Electrical Equipment,Mumbai +71 other locations
2345,Orient Craft,3.7,(452),Fashion & Textile,Gurgaon / Gurugram +14 other locations
2346,Mediterranean Shipping Company,4.0,(451),Ports & Shipping,Chennai +36 other locations
2347,Texmaco Rail and Engineering,3.8,(451),Engineering & Construction,Kolkata +51 other locations
2348,ITI,3.6,(451),Hardware & Networking,Bangalore / Bengaluru +85 other locations
2349,Godrej Interio,3.8,(451),Furniture & Furnishing,Mumbai +66 other locations
2350,ZF Friedrichshafen,3.8,(451),Auto Components,Chennai +17 other locations
2351,Stovekraft,4.0,(451),Consumer Electronics & Appliances,Bangalore / Bengaluru +56 other locations
2352,Indofil Industries,4.1,(451),Agro Chemicals,Bharuch +55 other locations
2353,Portea Medical,3.8,(450),Healthcare,Bangalore / Bengaluru +44 other locations
2354,Flamingo Pharmaceuticals,3.2,(450),Pharma,Mumbai +11 other locations
2355,Paradeep Phosphates,3.8,(450),Agro Chemicals,Paradip +49 other locations
2356,Balmer Lawrie,3.6,(450),Packaging,Kolkata +36 other locations
2357,JNS Instruments,4.0,(449),Industrial Machinery,Gurgaon / Gurugram +23 other locations
2358,Red Hat,4.3,(449),Software Product,Pune +14 other locations
2359,Khadims,3.6,(449),Fashion & Textile,Kolkata +64 other locations
2360,Cera Sanitaryware,4.1,(450),Building Material,Ahmedabad +77 other locations
2361,Railtel Corporation Of India,3.7,(448),Hardware & Networking,New Delhi +73 other locations
2362,Bandhan Life,3.1,(448),Insurance,Mumbai +85 other locations
2363,RND Softech,3.0,(449),BPO,Coimbatore +11 other locations
2364,B. Braun Medical,4.1,(447),Healthcare,Mumbai +49 other locations
2365,Akal Information Systems,4.2,(447),Software Product,New Delhi +52 other locations
2366,LuLu Group International,3.4,(447),Retail,Kochi +40 other locations
2367,Usha Martin,4.0,(447),Iron & Steel,Ranchi +29 other locations
2368,SMEC,3.6,(447),Real Estate,Bangalore / Bengaluru +65 other locations
2369,BSCPL Infrastructure,3.9,(447),Engineering & Construction,Hyderabad / Secunderabad +46 other locations
2370,SPAR Hypermarkets,3.9,(447),Retail,Bangalore / Bengaluru +30 other locations
2371,RPG Life Sciences,3.7,(446),Pharma,Ankleshwar +47 other locations
2372,T.v. Sundram Iyengar & Sons,3.9,(446),Automobile,Chennai +78 other locations
2373,GS Lab,3.7,(446),IT Services & Consulting,Pune +8 other locations
2374,Jupiter Hospital,3.9,(446),Healthcare,Pune +14 other locations
2375,Karvy Data Management,3.3,(446),Hyderabad / Secunderabad +41 other locations,
2376,Kyungshin Industrial Motherson,3.3,(446),Electrical Equipment,Chennai +17 other locations
2377,Ciena,4.0,(445),Telecom,Gurgaon / Gurugram +12 other locations
2378,Hyundai Glovis,3.7,(445),Logistics,Anantapur +21 other locations
2379,CS TECH Ai,3.9,(445),IT Services & Consulting,Nagpur +45 other locations
2380,Kolte Patil Developers,4.0,(444),Real Estate,Pune +9 other locations
2381,MKC Infrastructure Ltd.,3.5,(444),Engineering & Construction,Gandhinagar +49 other locations
2382,Realme,3.7,(444),Consumer Electronics & Appliances,Gurgaon / Gurugram +100 other locations
2383,Henkel Adhesives Technologies,4.1,(444),Chemicals,Pune +28 other locations
